Council,All people aged 16 to 74,"1. Higher managerial, administrative and professional occupations: Total","1. Higher managerial, administrative and professional occupations: 1.1 Large employers and higher managerial occupations","1. Higher managerial, administrative and professional occupations: 1.2 Higher professional occupations",2. Lower managerial and professional occupations,3. Intermediate occupations,4. Small employers and own account workers,5.  Lower supervisory and technical occupations,6. Semi-routine occupations,7. Routine occupations,8. Never worked and long-term unemployed: Total,8. Never worked and long-term unemployed: L14.1 Never worked,8. Never worked and long-term unemployed: L14.2 Long-term unemployed,L15 Full-time students
Scotland,"3,970,530","344,228","65,396","278,832","802,545","513,038","294,610","326,930","616,404","514,036","198,630","124,530","74,100","360,109"
Aberdeen City,"174,869","20,965","3,139","17,826","34,068","21,112","8,482","14,760","23,663","20,467","5,340","3,478","1,862","26,012"
Aberdeenshire,"187,492","19,549","4,444","15,105","40,451","22,690","18,782","18,730","28,543","23,279","4,475","2,834","1,641","10,993"
Angus,"84,940","6,280","1,529","4,751","18,563","10,405","7,668","8,088","13,536","11,496","3,431","2,057","1,374","5,473"
Argyll & Bute,"65,156","5,126","1,346","3,780","14,794","8,196","8,463","5,452","9,962","7,502","2,281","1,270","1,011","3,380"
Clackmannanshire,"38,771","2,718",647,"2,071","7,462","4,802","2,445","3,642","6,698","6,214","2,402","1,477",925,"2,388"
Dumfries & Galloway,"111,107","6,394","1,512","4,882","20,569","12,388","13,894","9,892","21,691","15,947","4,708","2,895","1,813","5,624"
Dundee City,"111,319","7,463","1,134","6,329","19,524","13,310","5,631","8,156","16,654","14,979","7,205","4,490","2,715","18,397"
East Ayrshire,"91,776","5,158","1,147","4,011","16,547","11,412","7,186","8,706","16,060","14,767","5,710","3,437","2,273","6,230"
East Dunbartonshire,"76,861","10,585","1,757","8,828","20,500","11,710","5,686","4,760","8,837","5,472","2,482","1,471","1,011","6,829"
East Lothian,"72,821","6,841","1,344","5,497","15,903","10,053","6,440","5,755","11,360","8,664","2,628","1,579","1,049","5,177"
East Renfrewshire,"64,758","9,325","1,733","7,592","17,050","9,506","5,041","3,645","7,379","4,138","2,438","1,586",852,"6,236"
"Edinburgh, City of","370,018","53,884","7,218","46,666","82,687","45,802","22,539","20,526","40,614","30,823","15,648","10,281","5,367","57,495"
Eilean Siar,"20,234","1,179",260,919,"4,436","2,340","2,261","1,898","3,400","3,068",644,303,341,"1,008"
Falkirk,"116,368","7,996","1,826","6,170","23,386","16,454","7,665","11,413","19,216","17,890","5,655","3,267","2,388","6,693"
Fife,"271,911","20,853","4,462","16,391","54,158","35,221","18,707","23,673","45,061","36,580","13,461","7,738","5,723","24,197"
Glasgow City,"457,863","36,265","4,662","31,603","77,521","52,689","22,445","31,307","70,197","63,096","41,472","29,107","12,365","62,871"
Highland,"171,557","12,900","2,630","10,270","36,751","19,842","19,570","17,261","28,967","22,019","5,869","3,488","2,381","8,378"
Inverclyde,"60,893","4,049",824,"3,225","11,256","8,620","3,126","4,702","10,841","10,053","3,424","2,315","1,109","4,822"
Midlothian,"61,511","4,800",917,"3,883","11,950","9,751","4,674","5,232","10,316","8,540","2,577","1,608",969,"3,671"
Moray,"68,410","4,079","1,333","2,746","13,939","8,285","6,168","7,384","12,780","9,873","2,232","1,339",893,"3,670"
North Ayrshire,"102,348","6,070","1,366","4,704","18,806","12,877","7,524","10,250","17,835","14,808","6,863","3,788","3,075","7,315"
North Lanarkshire,"251,388","14,320","3,363","10,957","45,791","37,274","15,463","22,008","43,516","40,929","15,078","8,930","6,148","17,009"
Orkney Islands,"15,942",976,224,752,"3,214","1,512","2,658","1,539","2,922","2,076",361,231,130,684
Perth & Kinross,"107,546","10,767","2,237","8,530","24,748","13,288","11,239","9,282","15,953","12,371","3,366","2,201","1,165","6,532"
Renfrewshire,"130,873","10,228","2,290","7,938","27,369","20,055","7,270","11,141","20,459","16,818","6,916","4,221","2,695","10,617"
Scottish Borders,"83,661","7,063","1,773","5,290","17,625","9,282","10,319","6,632","13,787","11,311","3,013","1,761","1,252","4,629"
Shetland Islands,"17,062","1,026",250,776,"3,642","1,747","1,638","1,962","3,364","2,622",320,200,120,741
South Ayrshire,"83,196","6,573","1,467","5,106","18,504","10,362","7,038","7,706","13,428","9,892","4,021","2,420","1,601","5,672"
South Lanarkshire,"234,622","19,072","3,972","15,100","49,247","34,596","17,161","19,300","36,768","31,150","11,591","6,884","4,707","15,737"
Stirling,"67,240","7,683","1,521","6,162","14,721","7,193","5,713","4,748","8,602","7,061","2,739","1,737","1,002","8,780"
West Dunbartonshire,"67,866","3,354",789,"2,565","12,153","10,526","3,684","6,250","12,663","9,951","4,484","2,658","1,826","4,801"
West Lothian,"130,151","10,687","2,280","8,407","25,210","19,738","8,030","11,130","21,332","20,180","5,796","3,479","2,317","8,048"

Crown copyright 2013
"For further information on variables, see www.scotlandscensus.gov.uk/variables"
"In order to protect against disclosure of personal information, some records have been swapped between different geographic areas. Some cell values will be affected, particularly small values at the most detailed geographies."
